"Date","Price","Open","High","Low","Change %"
"May 03","12.577","12.577","12.577","12.577","-10.30%"
"Apr 03","14.021","14.021","14.021","14.021","0.49%"
"Mar 03","13.952","13.952","13.952","13.952","-3.49%"
"Feb 03","14.456","14.456","14.456","14.456","1.55%"
"Jan 03","14.235","14.235","14.235","14.235","-2.10%"
"Dec 02","14.540","14.540","14.540","14.540","0.36%"
"Nov 02","14.488","14.488","14.488","14.488","-1.61%"
"Oct 02","14.725","14.725","14.725","14.725","-1.45%"
"Sep 02","14.942","14.942","14.942","14.942","-0.05%"
"Aug 02","14.950","14.950","14.950","14.950","0.40%"
"Jul 02","14.890","14.890","14.890","14.890","-3.80%"
"Jun 02","15.478","15.478","15.478","15.478","-0.83%"
"May 02","15.608","15.608","15.608","15.608","-1.50%"
"Apr 02","15.846","15.846","15.846","15.846","-0.70%"
"Mar 02","15.958","15.958","15.958","15.958","-0.38%"
"Feb 02","16.019","16.019","16.019","16.019","1.37%"
"Jan 02","15.802","15.802","15.802","15.802","-8.15%"
"Dec 01","17.205","17.205","17.205","17.205","-1.40%"
"Nov 01","17.450","17.450","17.450","17.450","-2.45%"
"Oct 01","17.889","17.889","17.889","17.889","10.77%"
"Sep 01","16.150","16.150","16.150","16.150","0.52%"
"Aug 01","16.066","16.066","16.066","16.066","0.31%"
"Jul 01","16.016","16.016","16.016","16.016","2.68%"
"Jun 01","15.598","15.598","15.598","15.598","-3.27%"
"May 01","16.125","16.125","16.125","16.125","-3.01%"
"Apr 01","16.625","16.625","16.625","16.625","7.74%"
